PID,Monitored Facility,Contingency Name,lo_facility,lo_outage,Earliest,Latest
5785,Casey-West Sullivan 345 kV l/o Bunsonville-Eugene 345 kV,Eugene-Bunsonville 345,CASEY-WEST SULLIVAN 345 KV,BUNSONVILLE-EUGENE 345 KV,2018-08-04 17:35:00-04:00,2020-07-19 12:05:00-04:00
5924,Oak Grove-Galesburg 161kV l/o Nelson-Electric Junction 345kV,Nelson-Electric Junction 345kV (15502 line),OAK GROVE-GALESBURG 161 KV,NELSON-ELECTRIC JUNCTION 345 KV,2012-10-01 04:00:00-04:00,2020-05-21 14:05:00-04:00
5955,Michigan City-Maple 138 kV l/o Dumont-Wilton Center 765 kV,Dumont-Wilton Center 765kV,MICHIGAN CITY-MAPLE 138 KV,DUMONT-WILTON CENTER 765 KV,2020-04-22 05:20:00-04:00,2020-05-12 04:45:00-04:00
6030,NWTap-Purdue 138 kV l/o Westwood-NWTap-WestLafayette,Westwood-08NW_Tap-WLafyett 138,NWTAP-PURDUE 138 KV,WESTWOOD-NWTAP-WESTLAFAYETTE,2017-04-06 07:00:00-04:00,2020-04-09 19:15:00-04:00
6034,Mittal2-Praxair 13808 2 138kV l/o Marktown-Mittal5-13830 138kV,L138.Marktown-Inland Steel 5,MITTAL2-PRAXAIR 13808 2 138 KV,MARKTOWN-MITTAL5-13830 138 KV,2020-04-08 19:05:00-04:00,2020-04-08 19:15:00-04:00
6035,Mittal2-Praxair 13808 2 138kV l/o Mittal5-Chicago 13829 138kV,L138.Chicago Ave - Inland5T(Mittal5).13829 (NIPS),MITTAL2-PRAXAIR 13808 2 138 KV,MITTAL5-CHICAGO 13829 138 KV,2020-04-08 18:15:00-04:00,2020-04-08 19:00:00-04:00
6175,Mt Vernon 345/138 TR l/o Casey - Newton 345 kV,L345.Newton-Casey (Ameren),MT VERNON 345/138 TR,CASEY - NEWTON 345 KV,2019-12-19 07:00:00-05:00,2019-12-19 14:00:00-05:00
6243,Kewanee-6101 138 l/o Oglesby Tap 138 sub,L138.Mazon-CrescentRdg-Oglesby.7713 (Oglesby Tap),KEWANEE-6101 138,OGLESBY TAP 138 SUB,2017-04-17 00:00:00-04:00,2019-11-27 23:00:00-05:00
6245,Fargo Xfmr 345/138 kV l/o Maple Ridge-Tazewell 345 kV,L345.MapleRidge-Tazewell,FARGO XFMR 345/138 KV,MAPLE RIDGE-TAZEWELL 345 KV,2018-03-06 00:00:00-05:00,2019-11-27 06:00:00-05:00
6364,Mclean-Diamond Star Tap 138 kV l/o Kickapoo Creek Lasal 138 kV,Kickapoo Crk-Lasalle 138,MCLEAN-DIAMOND STAR TAP 138 KV,KICKAPOO CREEK LASAL 138 KV,2017-05-16 17:00:00-04:00,2019-10-15 20:25:00-04:00
6411,Havana-Elkhart Jct 138 kV l/o Ipava-Havana 138kV,Havana-Ipava 138,HAVANA-ELKHART JCT 138 KV,IPAVA-HAVANA 138 KV,2019-09-18 01:40:00-04:00,2019-09-29 23:10:00-04:00
6445,TurkeyRiver-Stoneman 161 kV l/o Genoa-Seneca 161 kV,Genoa - Seneca 161 kV,TURKEYRIVER-STONEMAN 161 KV,GENOA-SENECA 161 KV,2019-07-15 19:40:00-04:00,2019-09-18 23:55:00-04:00
6518,TurkeyRiver - Stoneman 161 kV l/o Nelson-Cordova 345 kV,Cordova-Nelson (15503) 345 Line,TURKEYRIVER - STONEMAN 161 KV,NELSON-CORDOVA 345 KV,2019-08-20 23:35:00-04:00,2019-08-21 00:20:00-04:00
6585,Sub 85 - Rock Island 161 kV l/o East Moline 345/161 kV T1,Cordova-E. Moline 345 kV + E. Moline 345/161 kV,SUB 85 - ROCK ISLAND 161 KV,EAST MOLINE 345/161 KV T1,2019-07-20 07:20:00-04:00,2019-07-20 22:35:00-04:00
