PID,Monitored Facility,Contingency Name,lo_facility,lo_outage,Earliest,Latest
8637,Wempletown 345/138 kV TR84 l/o Byron-Cherry Valley 0621 345 kV,L345.Byron-CherryValley.0621,WEMPLETOWN 345/138 KV TR84,BYRON-CHERRY VALLEY 0621 345 KV,2016-04-01 20:00:00-04:00,2017-10-24 09:00:00-04:00
8733,Havana-Elkhart Jct 138 kV l/o Duck Creek-Maple Ridge 345 kV,Duck Creek-Maple Ridge 345 kV,HAVANA-ELKHART JCT 138 KV,DUCK CREEK-MAPLE RIDGE 345 KV,2016-09-13 10:00:00-04:00,2017-10-09 18:00:00-04:00
8833,Newton-Rob 138kV l/o Newton-Xenia 345kV,Xenia-Newton (31330323) 345 Line,NEWTON-ROB 138 KV,NEWTON-XENIA 345 KV,2017-09-27 13:00:00-04:00,2017-09-27 16:00:00-04:00
8952,Cherry Valley TR83 345/138 l/o Cherry Valley-Silver Lake 345,L345.CherryValley-SilverLake.15616,CHERRY VALLEY TR83 345/138,CHERRY VALLEY-SILVER LAKE 345,2015-12-09 00:00:00-05:00,2017-09-14 23:00:00-04:00
9074,Michigan City-Bosserman 138 kV l/o Dumont -Wilton Center 765 kV,Dumont-Wilton Center 765kV,MICHIGAN CITY-BOSSERMAN 138 KV,DUMONT -WILTON CENTER 765 KV,2016-04-22 08:00:00-04:00,2017-08-10 08:00:00-04:00
9089,Rock Creek 345/161 TX l/o Quad Cities-Sub 91 345 kV,L345.QuadCities-Sub91.0401,ROCK CREEK 345/161 TX,QUAD CITIES-SUB 91 345 KV,2017-08-01 08:00:00-04:00,2017-08-02 23:00:00-04:00
9103,Quad Cities-Rock Creek 345 l/o Quad Cities-Sub 91 345,L345.QuadCities-Sub91.0401,QUAD CITIES-ROCK CREEK 345,QUAD CITIES-SUB 91 345,2017-07-25 19:00:00-04:00,2017-07-25 19:00:00-04:00
9105,Dune Acres- Michigan City 1 138 kv l/o Dumont - Wilton Center 765 KV,Dumont-Wilton Center 765kV,DUNE ACRES- MICHIGAN CITY 1 138 KV,DUMONT - WILTON CENTER 765 KV,2013-10-01 07:00:00-04:00,2017-07-24 07:00:00-04:00
9115,Olive-Bosserman 138 l/o Olive-New Carlisle 138,L138.Olive-NewCarlisle,OLIVE-BOSSERMAN 138,OLIVE-NEW CARLISLE 138,2016-07-12 12:00:00-04:00,2017-07-21 16:00:00-04:00
9146,Quad Cities-Sub 91 345 l/o Quad Cities-Rock Creek 345,L345.QuadCities-RockCreek.0405,QUAD CITIES-SUB 91 345,QUAD CITIES-ROCK CREEK 345,2017-07-11 09:00:00-04:00,2017-07-12 23:00:00-04:00
9227,Lake Geogre-Aetna 138 kV l/o Lake George-Miller 138 kV,Miller-LakeGeorge 138 kV,LAKE GEOGRE-AETNA 138 KV,LAKE GEORGE-MILLER 138 KV,2017-04-27 21:00:00-04:00,2017-06-14 23:00:00-04:00
9278,Segreto-Palisades 2 345 kV l/o Segreto-Palisades 1 345 kV,L345.Palisades-Segreto.1,SEGRETO-PALISADES 2 345 KV,SEGRETO-PALISADES 1 345 KV,2017-05-30 13:00:00-04:00,2017-05-30 19:00:00-04:00
9335,Kyger-DOEX530 2 345 l/o Kyger-Marq 345+Kyger-DOEX530 1 345+Kyger-Pierce 345,Kyger-Marq 345+Kyger-DOEX530 1 345+Kyger-Pierce345,KYGER-DOEX530 2 345,KYGER-MARQ 345+KYGER-DOEX530 1 345+KYGER-PIERCE 345,2017-05-15 16:00:00-04:00,2017-05-15 20:00:00-04:00
9351,Montgomery-Enon Tap 345kV l/o Labadie-Montgomery 345kV,Labadie - Montgomery 345kV,MONTGOMERY-ENON TAP 345 KV,LABADIE-MONTGOMERY 345 KV,2017-05-08 20:00:00-04:00,2017-05-11 07:00:00-04:00
9376,Louisville - Olney 138 kV l/o Casey - Newton,Newton-Casey 345 kV,LOUISVILLE - OLNEY 138 KV,CASEY - NEWTON,2016-07-25 12:00:00-04:00,2017-05-08 06:00:00-04:00
9384,6101-Hennepin 138 l/o Princetp Sub 138,Princetp 138 Sub,6101-HENNEPIN 138,PRINCETP SUB 138,2015-04-21 06:00:00-04:00,2017-05-05 06:00:00-04:00
9391,Mt Vernon 345/138 kV l/o Newton-Xenia 345 kV,Xenia-Newton (31330323) 345 Line,MT VERNON 345/138 KV,NEWTON-XENIA 345 KV,2017-05-04 01:00:00-04:00,2017-05-04 01:00:00-04:00
9413,6101-Hennepin 138 l/o Princetp 138 Sub,Princetp 138 Sub,6101-HENNEPIN 138,PRINCETP 138 SUB,2013-05-31 02:00:00-04:00,2017-04-30 20:00:00-04:00
9449,6101-Hennepin 138 l/o Oglesby Tap 138 sub,L138.Mazon-CrescentRdg-Oglesby.7713 (Oglesby Tap),6101-HENNEPIN 138,OGLESBY TAP 138 SUB,2017-04-19 00:00:00-04:00,2017-04-21 06:00:00-04:00
9451,Paxton East-Rantoul Jct l/o Goodland-Morrison & Goodland Xfmr 1,Godlnd-Morrison 138kV + GodLnd 69/138kV XF1,PAXTON EAST-RANTOUL JCT,GOODLAND-MORRISON & GOODLAND XFMR 1,2017-04-20 03:00:00-04:00,2017-04-20 03:00:00-04:00
9461,6101-Hennepin 138kV l/o Mazon-Cresent Ridge-Oglesby 138kV,Oglesby Tap 138 sub,6101-HENNEPIN 138 KV,MAZON-CRESENT RIDGE-OGLESBY 138 KV,2017-04-18 00:00:00-04:00,2017-04-18 17:00:00-04:00
9544,Ipava-Macomb 138 kV l/o Duck Creek-Maple Ridge 345 kV,Duck Creek-Maple Ridge 345 kV,IPAVA-MACOMB 138 KV,DUCK CREEK-MAPLE RIDGE 345 KV,2016-10-28 18:00:00-04:00,2017-04-01 23:00:00-04:00
9555,Ipava - Ipava S 138 l/o Powerton 6,Powerton U6,IPAVA - IPAVA S 138,POWERTON 6,2017-03-30 10:00:00-04:00,2017-03-30 14:00:00-04:00
9614,Ipava S-Ipava 138 l/o Duck Creek-Maple Ridge 345,Duck Creek-Maple Ridge 345 kV,IPAVA S-IPAVA 138,DUCK CREEK-MAPLE RIDGE 345,2016-12-29 21:00:00-05:00,2017-03-19 07:00:00-04:00
9615,Enon-Montgomery 345 kV l/o Labadie-Mongomery 345 kV,Labadie - Montgomery 345kV,ENON-MONTGOMERY 345 KV,LABADIE-MONGOMERY 345 KV,2017-03-19 04:00:00-04:00,2017-03-19 04:00:00-04:00
9686,MtVernon TR 345/138 kV l/o MtVernon-Xenia 345 kV,Mt Vernon-Xenia 345 kV,MTVERNON TR 345/138 KV,MTVERNON-XENIA 345 KV,2017-02-23 06:00:00-05:00,2017-02-23 06:00:00-05:00
9698,15627-Glidden 138 kV l/o Cherry Valley-Silver Lake 345 kV,L345.CherryValley-SilverLake.15616,15627-GLIDDEN 138 KV,CHERRY VALLEY-SILVER LAKE 345 KV,2016-03-25 00:00:00-04:00,2017-02-14 20:00:00-05:00
9727,State Line TR82 345/138 l/o Burnham-Sheffield 345,L345.Burnham-Sheffield.17705 TIE,STATE LINE TR82 345/138,BURNHAM-SHEFFIELD 345,2016-12-30 00:00:00-05:00,2017-02-04 15:00:00-05:00
9777,Dumont T1 765/345 kV l/o Cook-Dumont 765 kV,L765.Cook-Dumont,DUMONT T1 765/345 KV,COOK-DUMONT 765 KV,2017-01-03 23:00:00-05:00,2017-01-13 21:00:00-05:00
9783,Miami Fort 345/138-kV TX9 l/o East Bend-Terminal 345 kV,L345.EastBend-Terminal,MIAMI FORT 345/138-KV TX9,EAST BEND-TERMINAL 345 KV,2017-01-10 21:00:00-05:00,2017-01-10 21:00:00-05:00
9794,Reynolds-Magnetation 138 l/o Eugene-Cayuga3 345,L345.Cayuga-Eugene,REYNOLDS-MAGNETATION 138,EUGENE-CAYUGA3 345,2015-05-12 00:00:00-04:00,2017-01-10 11:00:00-05:00
9799,Reynolds-Magnetation 138 kV l/o Meadow Lake-Olive 345 kV,L345.Olive-MeadowLake,REYNOLDS-MAGNETATION 138 KV,MEADOW LAKE-OLIVE 345 KV,2016-09-12 09:00:00-04:00,2017-01-09 23:00:00-05:00
9800,Person4 -Half296 296B l/o  Heritage - Wake,L500.BrunswickSwitchingStationHeritage-Wake.570,PERSON4 -HALF296 296B,HERITAGE - WAKE,2016-01-06 00:00:00-05:00,2017-01-09 20:00:00-05:00
9812,Person-Sedge Hill 230 kV l/o Wake-Heritage 500 kV,Heritage-Wake 500 kV,PERSON-SEDGE HILL 230 KV,WAKE-HERITAGE 500 KV,2017-01-07 12:00:00-05:00,2017-01-07 12:00:00-05:00
9830,Ipava-Ipava S 138 l/o Duck Creek-Maple Ridge 345,Duck Creek-Maple Ridge 345 kV,IPAVA-IPAVA S 138,DUCK CREEK-MAPLE RIDGE 345,2016-12-29 15:00:00-05:00,2016-12-29 17:00:00-05:00
9839,Terminal 345/138 TR11 l/o Red Bank-Terminal 345+Terminal 345/138 TR12,L345.Red Bank-Terminal,TERMINAL 345/138 TR11,RED BANK-TERMINAL 345+TERMINAL 345/138 TR12,2016-12-13 00:00:00-05:00,2016-12-22 16:00:00-05:00
10063,Albany-Garden Plain 138 l/o Quad Cities-H471 345,L345.QuadCities-H471.0404,ALBANY-GARDEN PLAIN 138,QUAD CITIES-H471 345,2016-11-04 08:00:00-04:00,2016-11-04 19:00:00-04:00
10071,Quad Cities-Cordova 0402 345 kV l/o Quad Cities-H471 0404 345 kV,L345.QuadCities-H471.0404,QUAD CITIES-CORDOVA 0402 345 KV,QUAD CITIES-H471 0404 345 KV,2016-11-02 05:00:00-04:00,2016-11-02 20:00:00-04:00
10160,Ipava S-Frederc3 138 kV l/o Duck Creek-Maple Ridge 345 kV,Duck Creek-Maple Ridge 345 kV,IPAVA S-FREDERC3 138 KV,DUCK CREEK-MAPLE RIDGE 345 KV,2016-10-18 12:00:00-04:00,2016-10-19 14:00:00-04:00
10204,Dumont 765/345 kV T1 l/o Cook 765/345kV TR,765/345.Cook.T4,DUMONT 765/345 KV T1,COOK 765/345 KV TR,2016-10-01 08:00:00-04:00,2016-10-12 21:00:00-04:00
10226,Ramsey-Pana 138 kV l/o Kincaid-Pana-Coffen 345+Pana TR+Kincaid U1,Kincaid-Pana-Coffeen 345+Kincaid U1,RAMSEY-PANA 138 KV,KINCAID-PANA-COFFEN 345+PANA TR+KINCAID U1,2016-07-22 18:00:00-04:00,2016-10-06 10:00:00-04:00
10250,6 Byron-156 Cherry Valley 0621 l/o Nelson-Electric Junction,L345.Nelson-ElectricJunction.15502,6 BYRON-156 CHERRY VALLEY 0621,NELSON-ELECTRIC JUNCTION,2016-09-19 06:00:00-04:00,2016-09-29 23:00:00-04:00
10296,Greentown TR1 765/138 kV l/o Hanging Rock-Baker 765 kV,L765.Baker-HangingRock,GREENTOWN TR1 765/138 KV,HANGING ROCK-BAKER 765 KV,2016-09-15 00:00:00-04:00,2016-09-20 23:00:00-04:00
10297,Cherry Valley 345/138 TR82 l/o Cherry Valley-Silver Lake 345,L345.CherryValley-SilverLake.15616,CHERRY VALLEY 345/138 TR82,CHERRY VALLEY-SILVER LAKE 345,2016-02-12 00:00:00-05:00,2016-09-20 22:00:00-04:00
10304,Midway-Schram 138 kV l/o Ramsey TR 138/345 kV + Coffeen-Ramsey-Holland 345 kV,Coffeen-Ramsey-Holland 345+Ramsey 345/138,MIDWAY-SCHRAM 138 KV,RAMSEY TR 138/345 KV + COFFEEN-RAMSEY-HOLLAND 345 KV,2016-09-19 09:00:00-04:00,2016-09-20 11:00:00-04:00
10321,Greentown TR1 765/138 kV l/o Hanging Rock-Baker 765 kV,Baker-Hanging Rock 765 kV,GREENTOWN TR1 765/138 KV,HANGING ROCK-BAKER 765 KV,2016-09-15 13:00:00-04:00,2016-09-16 13:00:00-04:00
10330,Pawnee-Auburn 138 l/o Kincaid-Lansville 345,Kincaid-Lanesvl 345 kV,PAWNEE-AUBURN 138,KINCAID-LANSVILLE 345,2016-05-26 17:00:00-04:00,2016-09-15 17:00:00-04:00
10359,Loretto-Wilton Center 345 kV l/o Pontiac-Dresden 345 kV+Pontiac TR82,L345.12 Dresden-80 Pontiac.8014+345/138.Pontic.T82,LORETTO-WILTON CENTER 345 KV,PONTIAC-DRESDEN 345 KV+PONTIAC TR82,2016-07-09 00:00:00-04:00,2016-09-12 22:00:00-04:00
10363,Havana-Elkhart Jct 138 kV l/o Duck Creek-Tazewell 345 kV,Duck Creek-Tazewell (33161331) 345 Line,HAVANA-ELKHART JCT 138 KV,DUCK CREEK-TAZEWELL 345 KV,2016-09-10 15:00:00-04:00,2016-09-12 20:00:00-04:00
10388,Rising 345/138-kV TX1 l/o Clinton-Brokaw 345 kV,Clinton-Brokaw 345kV,RISING 345/138-KV TX1,CLINTON-BROKAW 345 KV,2012-10-08 08:00:00-04:00,2016-09-10 12:00:00-04:00
10391,Greentown 765/138 TX1 l/o Dumont-Greentown 765+Greentown TX2,L765.Dumont-Greentown,GREENTOWN 765/138 TX1,DUMONT-GREENTOWN 765+GREENTOWN TX2,2016-09-07 00:00:00-04:00,2016-09-09 21:00:00-04:00
10395,Ipava-Macomb 138 kV l/o Duck Creek-Maple Ridge 345 kV,Duck Creek - Maple Ridge 345 kV,IPAVA-MACOMB 138 KV,DUCK CREEK-MAPLE RIDGE 345 KV,2016-09-08 11:00:00-04:00,2016-09-09 19:00:00-04:00
10401,Ipava-Canton 138 kV l/o Duck Creek-Tazewell 345 kV,Duck Creek-Tazewell (33161331) 345 Line,IPAVA-CANTON 138 KV,DUCK CREEK-TAZEWELL 345 KV,2016-09-09 09:00:00-04:00,2016-09-09 09:00:00-04:00
10403,Mercer IP-Galesburg 161kV l/o Nelson-Electric Junction 345kV,L345.Nelson-ElectricJunction.15502,MERCER IP-GALESBURG 161 KV,NELSON-ELECTRIC JUNCTION 345 KV,2015-12-09 00:00:00-05:00,2016-09-09 07:00:00-04:00
10419,NLG-Burlington 138 kV l/o CherryValley-SilverLake 345 kV,Cherry Valley-Silver Lake 345kV (15616 line),NLG-BURLINGTON 138 KV,CHERRYVALLEY-SILVERLAKE 345 KV,2016-09-07 00:00:00-04:00,2016-09-08 00:00:00-04:00
10432,Dumont 1-P TR 765/345 kV l/o Cook U1,Cook.U1,DUMONT 1-P TR 765/345 KV,COOK U1,2016-07-23 00:00:00-04:00,2016-09-06 21:00:00-04:00
10461,Oak Grove-Mercer 161 kV l/o Nelson-Electric Junction 345 kV,L345.Nelson-ElectricJunction.15502,OAK GROVE-MERCER 161 KV,NELSON-ELECTRIC JUNCTION 345 KV,2016-05-28 00:00:00-04:00,2016-08-29 23:00:00-04:00
10463,Mercer IP-Galesburg 161kV l/o Nelson-Electric Junction 345kV,Nelson-Electric Junction 345kV (15502 line),MERCER IP-GALESBURG 161 KV,NELSON-ELECTRIC JUNCTION 345 KV,2015-06-28 10:00:00-04:00,2016-08-29 05:00:00-04:00
10490,Oak Grove-Mercer 161 kV l/o Nelson-Electric Junction 345 kV,Nelson-Electric Junction 345kV (15502 line),OAK GROVE-MERCER 161 KV,NELSON-ELECTRIC JUNCTION 345 KV,2015-12-03 17:00:00-05:00,2016-08-23 01:00:00-04:00
10520,Lakeview-282 Zion 138 kV l/o Zion-Pleasant Prairie 345 kV,Zion-Pleas PR (2221) 345 Line,LAKEVIEW-282 ZION 138 KV,ZION-PLEASANT PRAIRIE 345 KV,2011-02-02 00:00:00-05:00,2016-08-15 19:00:00-04:00
10523,Arcadian-Zion 345 kV l/o Pleasant Prairie-Zion 345 kV,Zion-Pleas PR (2221) 345 Line,ARCADIAN-ZION 345 KV,PLEASANT PRAIRIE-ZION 345 KV,2016-08-15 09:00:00-04:00,2016-08-15 09:00:00-04:00
10538,Greentown-Kokomo_E 230kV l/o Walton-Peru-Greentown 230kV,Walton-Peru-Greentown 230kV,GREENTOWN-KOKOMO_E 230 KV,WALTON-PERU-GREENTOWN 230 KV,2016-08-11 20:00:00-04:00,2016-08-12 10:00:00-04:00
10591,NChampgn-Vermilion 138 kV l/o Casey West-Sullivan 345 kV,Sullivan-Casey 345 kV,NCHAMPGN-VERMILION 138 KV,CASEY WEST-SULLIVAN 345 KV,2016-03-12 08:00:00-05:00,2016-07-30 08:00:00-04:00
10600,SummerShadeTVA-SummerShadeTap l/o Summer ShadeEKPC-SummerShadeTVA,Summer Shade(TVA)-Summer Shade (EKPC),SUMMERSHADETVA-SUMMERSHADETAP,SUMMER SHADEEKPC-SUMMERSHADETVA,2015-07-20 16:00:00-04:00,2016-07-28 19:00:00-04:00
10617,EffinghamNW - Effingham 138 kV l/o Casey - Newton 345 kV,Newton-Casey 345 kV,EFFINGHAMNW - EFFINGHAM 138 KV,CASEY - NEWTON 345 KV,2016-07-25 09:00:00-04:00,2016-07-25 21:00:00-04:00
10643,DuneAcres-MichiganCity 2 138 kV l/o Olive XFMR 138/345 kV,BASE,DUNEACRES-MICHIGANCITY 2 138 KV,OLIVE XFMR 138/345 KV,2016-07-19 07:00:00-04:00,2016-07-19 07:00:00-04:00
10649,Brokaw-N Leroy 138 kV l/o Clinton-Oreana-GooseCrk 345 kV,Clinton-Oreana-GooseCrk 345 kV,BROKAW-N LEROY 138 KV,CLINTON-OREANA-GOOSECRK 345 KV,2012-11-14 01:00:00-05:00,2016-07-17 13:00:00-04:00
10697,20 Braid345 KV  2003 l/o L345.Braidwood-EastFrankfort 2001,L345.Braidwood-EastFrankfort.2001,20 BRAID345 KV 2003,L345.BRAIDWOOD-EASTFRANKFORT 2001,2016-07-05 00:00:00-04:00,2016-07-05 23:00:00-04:00
10743,Macomb-Ipava 138 kV l/o Duck Creek-Tazewell 345 kV,Duck Creek-Tazewell (33161331) 345 Line,MACOMB-IPAVA 138 KV,DUCK CREEK-TAZEWELL 345 KV,2016-06-16 15:00:00-04:00,2016-06-16 15:00:00-04:00
10782,Watts Bar-Volunteer 500 kV l/o Bull Run-Volunteer 500 kV,Bull Run-Volunteer 500 kV,WATTS BAR-VOLUNTEER 500 KV,BULL RUN-VOLUNTEER 500 KV,2016-06-02 16:00:00-04:00,2016-06-03 21:00:00-04:00
10805,Mercer IP-Galesburg 161kV l/o Cherry Valley-Silver Lake 345kV,Cherry Valley-Silver Lake 345kV (15616 line),MERCER IP-GALESBURG 161 KV,CHERRY VALLEY-SILVER LAKE 345 KV,2016-06-01 10:00:00-04:00,2016-06-01 10:00:00-04:00
10807,6101-Hennepin 138 kV l/o Havana-Powerton-Danvers 138 kV,Powerton-Havana-Lilly-Old Danverson,6101-HENNEPIN 138 KV,HAVANA-POWERTON-DANVERS 138 KV,2016-05-27 04:00:00-04:00,2016-06-01 03:00:00-04:00
10840,6101-Hennepin 138 l/o Nelson-Electric Jct 345,L345.Nelson-ElectricJunction.15502,6101-HENNEPIN 138,NELSON-ELECTRIC JCT 345,2016-05-24 07:00:00-04:00,2016-05-25 19:00:00-04:00
10842,Cornbelt-Gibson 138kV l/o RantJ-Sid 138kV+Rant-RantJ 138kV+RantJ-PaxE 138kV,RantJ-Sid 138kV+Rant-RantJ 138kV+RantJ-PaxE 138kV,CORNBELT-GIBSON 138 KV,RANTJ-SID 138 KV+RANT-RANTJ 138 KV+RANTJ-PAXE 138 KV,2016-05-25 16:00:00-04:00,2016-05-25 17:00:00-04:00
10847,Ramsey-Pana 138 kV l/o Coffeen-Pana-Kincaid 345 kV,Coffeen-Pana-Kincaid 345kV,RAMSEY-PANA 138 KV,COFFEEN-PANA-KINCAID 345 KV,2016-03-29 13:00:00-04:00,2016-05-24 22:00:00-04:00
10849,12204-Pleasant Valley 12204 2 138 l/o Cherry Valley-Silver Lake 345,L345.CherryValley-SilverLake.15616,12204-PLEASANT VALLEY 12204 2 138,CHERRY VALLEY-SILVER LAKE 345,2016-01-12 07:00:00-05:00,2016-05-24 11:00:00-04:00
10851,6101Tap-Hennepin 138 kV l/o Nelson-Electric Junction 345 kV,Nelson-Electric Junction 345kV (15502 line),6101TAP-HENNEPIN 138 KV,NELSON-ELECTRIC JUNCTION 345 KV,2016-05-23 15:00:00-04:00,2016-05-23 16:00:00-04:00
10855,Kewanee-6101 138 l/o Nelson-Electric Junction 345,L345.Nelson-ElectricJunction.15502,KEWANEE-6101 138,NELSON-ELECTRIC JUNCTION 345,2016-05-21 05:00:00-04:00,2016-05-21 21:00:00-04:00
10885,Vermilion-NChampgn 138kV l/o Vermilion-Tilton 138kV,Vermilion-Tilton 138 kV,VERMILION-NCHAMPGN 138 KV,VERMILION-TILTON 138 KV,2016-05-14 00:00:00-04:00,2016-05-14 17:00:00-04:00
10907,Vermilion-Tiltonec 138kV l/o Sullivan-Casey 345 kV,Sullivan-Casey 345 kV,VERMILION-TILTONEC 138 KV,SULLIVAN-CASEY 345 KV,2016-03-08 02:00:00-05:00,2016-05-09 06:00:00-04:00
10910,Vermilion-Tilton 138 kV l/o Sullivan-Casey 345 kV,L345.Sullivan-CaseyWest,VERMILION-TILTON 138 KV,SULLIVAN-CASEY 345 KV,2016-03-18 03:00:00-04:00,2016-05-06 07:00:00-04:00
10937,NChampgn-Vermilion 138 kV l/o Casey West-Sullivan 345 kV,L345.Sullivan-CaseyWest,NCHAMPGN-VERMILION 138 KV,CASEY WEST-SULLIVAN 345 KV,2016-04-10 00:00:00-04:00,2016-04-28 09:00:00-04:00
10938,15627-Glidden 138 kV l/o Nelson-Electric Jct 345 kV,L345.Nelson-ElectricJunction.15502,15627-GLIDDEN 138 KV,NELSON-ELECTRIC JCT 345 KV,2016-04-26 23:00:00-04:00,2016-04-28 08:00:00-04:00
10939,Bunsonville 138/345 TR1 l/o Sullivan-Casey West 345,L345.Sullivan-CaseyWest,BUNSONVILLE 138/345 TR1,SULLIVAN-CASEY WEST 345,2016-04-07 04:00:00-04:00,2016-04-28 06:00:00-04:00
10966,Braidwood-E Frankfurt 2001 345 l/o Braidwood-Davis Creek 2002 345+DC TR83 345,L345.Braidwd-DvisCrk.2002&DvisCrek.T83 S SPOG2-24,BRAIDWOOD-E FRANKFURT 2001 345,BRAIDWOOD-DAVIS CREEK 2002 345+DC TR83 345,2016-04-04 12:00:00-04:00,2016-04-20 22:00:00-04:00
10991,Bunsonville 138/345 TR low to high l/o Casey-Sullivan 345 kV,Sullivan-Casey 345 kV,BUNSONVILLE 138/345 TR LOW TO HIGH,CASEY-SULLIVAN 345 KV,2016-03-16 06:00:00-04:00,2016-04-15 06:00:00-04:00
11012,Henepin-LTV Steel IP 1512 l/o Kickapoo Creek- Lasalle 138,Kickapoo Crk-Lasalle 138,HENEPIN-LTV STEEL IP 1512,KICKAPOO CREEK- LASALLE 138,2015-11-11 07:00:00-05:00,2016-04-10 07:00:00-04:00
11014,Mercer IP-Galesburg 161kV l/o Sterling Steel-Nelson 345 kV,L345.155 Nelson-H471.15504,MERCER IP-GALESBURG 161 KV,STERLING STEEL-NELSON 345 KV,2016-04-03 00:00:00-04:00,2016-04-09 23:00:00-04:00
11023,Michigan City-Maple 138 l/o Dumont-Wilton Center 765,L765.Dumont-Wilton Center.11215,MICHIGAN CITY-MAPLE 138,DUMONT-WILTON CENTER 765,2015-02-06 08:00:00-05:00,2016-04-08 23:00:00-04:00
11028,Lafayette-Summershade 161 kV l/o E Glasgow-Summer Shade 161 kV,E Glasgow-Summer Shade 161 kV,LAFAYETTE-SUMMERSHADE 161 KV,E GLASGOW-SUMMER SHADE 161 KV,2016-04-08 06:00:00-04:00,2016-04-08 14:00:00-04:00
11046,Mercer IP-Galesburg 161kV l/o Sterling Steel-Nelson 345 kV,Sterling Steel-Nelson 345 kV,MERCER IP-GALESBURG 161 KV,STERLING STEEL-NELSON 345 KV,2016-04-01 19:00:00-04:00,2016-04-05 18:00:00-04:00
11048,Brokaw-Leroy 138 kV l/o Kansas-Casey 345 kV,Kansas - W Casey 345kV,BROKAW-LEROY 138 KV,KANSAS-CASEY 345 KV,2016-04-05 14:00:00-04:00,2016-04-05 14:00:00-04:00
11069,Mercer IP-Galesburg 161 kV l/o Cordova-Nelson 345 kV,L345.Nelson-Cordova.15503 SPOG 1-3-G,MERCER IP-GALESBURG 161 KV,CORDOVA-NELSON 345 KV,2016-03-23 00:00:00-04:00,2016-04-01 07:00:00-04:00
11072,Sidney-SW Campus 138 kV l/o Kincaid-Pana-Coffeen 345 kV,Coffeen-Pana-Kincaid 345kV,SIDNEY-SW CAMPUS 138 KV,KINCAID-PANA-COFFEEN 345 KV,2016-03-31 13:00:00-04:00,2016-03-31 14:00:00-04:00
11114,Mercer IP-Galesburg 161kV l/o Cordova-Nelson 345 kV,Cordova-Nelson (15503) 345 Line,MERCER IP-GALESBURG 161 KV,CORDOVA-NELSON 345 KV,2016-03-22 00:00:00-04:00,2016-03-23 06:00:00-04:00
11137,Vermilion-Tilton 138 kV l/o Sullivan-Casey 345 kV,Sullivan-Casey West 345 kV,VERMILION-TILTON 138 KV,SULLIVAN-CASEY 345 KV,2016-03-10 02:00:00-05:00,2016-03-17 06:00:00-04:00
11141,Pontiac-Loretto 345 kV l/o Pontiac-Dresden 345 kV (8014),L345.12 Dresden-80 Pontiac.8014+345/138.Pontic.T82,PONTIAC-LORETTO 345 KV,PONTIAC-DRESDEN 345 KV (8014),2016-02-02 11:00:00-05:00,2016-03-16 16:00:00-04:00
11154,Bunsonville 138/345 TR1 l/o Sullivan-Casey West 345,Sullivan-Casey West 345 kV,BUNSONVILLE 138/345 TR1,SULLIVAN-CASEY WEST 345,2016-03-08 04:00:00-05:00,2016-03-09 23:00:00-05:00
11240,BUTL APS 138KV BUT-KAR l/o L345.ErieWest-Ashtabula-Perry+SPS.Warren,L345.ErieWest-Ashtabula-Perry + SPS.Warren,BUTL APS 138 KV BUT-KAR,L345.ERIEWEST-ASHTABULA-PERRY+SPS.WARREN,2014-07-29 00:00:00-04:00,2016-02-14 23:00:00-05:00
11251,Gary Ave  345 KV  XFMR l/o Dumont-Wilton Center,Dumont-Wilton Center 765kV,GARY AVE 345 KV XFMR,DUMONT-WILTON CENTER,2016-02-03 05:00:00-05:00,2016-02-12 17:00:00-05:00
11260,Gary Ave XF2 345/138 kV l/o Wiltoncenter-Dumont 765 kV,Dumont-Wilton Center 765kV,GARY AVE XF2 345/138 KV,WILTONCENTER-DUMONT 765 KV,2016-02-02 07:00:00-05:00,2016-02-10 13:00:00-05:00
11265,Palmyra 345/161-kV TX l/o Montgomery-Spencer 345 kV,Montgomery-Spencer 345kV (31230314 line),PALMYRA 345/161-KV TX,MONTGOMERY-SPENCER 345 KV,2015-03-29 05:00:00-04:00,2016-02-08 11:00:00-05:00
11295,Gillespie Tap-Laclede Tap 138 kV l/o Coffeen-Roxford 345 kV,Coffeen-Roxfd 345,GILLESPIE TAP-LACLEDE TAP 138 KV,COFFEEN-ROXFORD 345 KV,2013-10-07 06:00:00-04:00,2016-01-29 19:00:00-05:00
11325,Person-Halifax 230 kV l/o Wake-Heritage 500 kV,Heritage-Wake 500 kV,PERSON-HALIFAX 230 KV,WAKE-HERITAGE 500 KV,2016-01-05 02:00:00-05:00,2016-01-23 15:00:00-05:00
11328,Rantoul-Rantoul Jct 138 KV l/o Rising-N Champaign-Mahomet 138 kV,N.Champaign-Mohomet-Rising 138kV 3-Way Tap,RANTOUL-RANTOUL JCT 138 KV,RISING-N CHAMPAIGN-MAHOMET 138 KV,2013-06-10 00:00:00-04:00,2016-01-22 08:00:00-05:00
11334,Rantoul-Rantoul Jct 138 kV l/o N Champaign-Mahomet-Rising 138,N.Champaign-Mohomet-Rising 138kV,RANTOUL-RANTOUL JCT 138 KV,N CHAMPAIGN-MAHOMET-RISING 138,2014-06-14 18:00:00-04:00,2016-01-21 17:00:00-05:00
11337,Monroe-Bayshore 345 kV l/o Lulu 345 kV Sub,L345.Lulu Tap (AllenJunction-Lulu-Milan-Monroe),MONROE-BAYSHORE 345 KV,LULU 345 KV SUB,2015-04-15 00:00:00-04:00,2016-01-19 22:00:00-05:00
