dz_name,pn_name,confidence_tier,score,match_method,kv,dz_zone,pn_zone,n_candidates_considered,runner_up_pn_name,runner_up_score,s_name,s_topo,s_sig,s_zone,s_geo,n_fires,margin,frac_x_diff,unmatch_reason
RIVERCST_8,RCSES_138KV_1,anchor,1.0,transformer_impedance,138,O_LAMAR    ,NOTH,209,,,,,,,,,,0.0,
EAGLEMNT1_5,EMSES_345KV_1,anchor,1.0,transformer_impedance,345,O_TARRANT  ,NCEN,0,,,,,,,,,,0.0027272727272726594,
HANDLEYC_8,HLSES_138KV_1,anchor,1.0,transformer_impedance,138,O_TARRANT  ,NCEN,0,,,,,,,,,,0.0,
HANDLEYD_8,HLSES_138KV_1,anchor,1.0,transformer_impedance,138,O_TARRANT  ,NCEN,0,,,,,,,,,,0.0,
LKHB_1T8,LHSES_138KV_1,anchor,1.0,transformer_impedance,138,O_DALLAS   ,NCEN,2,,,,,,,,,,0.0,
MTCK_1T8,MCSES_138KV_1,anchor,1.0,transformer_impedance,138,O_DALLAS   ,NCEN,1667,,,,,,,,,,0.0,
MARTINLK_5,MLSES_345KV_1,anchor,1.0,transformer_impedance,345,O_RUSK     ,EAST,59,,,,,,,,,,0.0,
MRTINLK_1T8,MLSES_138KV_2,anchor,1.0,transformer_impedance,138,O_RUSK     ,EAST,2,,,,,,,,,,0.0005725886211024791,
SHAMBRGR_5,SHBSW_345KV_1,anchor,1.0,transformer_impedance,345,O_SMITH    ,EAST,59,,,,,,,,,,0.0,
SHAMBRGR_8,SHBSW_138KV_1,anchor,1.0,transformer_impedance,138,O_SMITH    ,EAST,321,,,,,,,,,,0.0,
STRYKER_8,SCSES_138KV_1,anchor,1.0,transformer_impedance,138,O_CHEROKEE ,EAST,321,,,,,,,,,,0.0,
STRYKERND_8,SCSES_138KV_1,anchor,1.0,transformer_impedance,138,O_CHEROKEE ,EAST,321,,,,,,,,,,0.0,
FOREGROV_5,FGRSW_345KV_1,anchor,1.0,transformer_impedance,345,O_HENDERSON,EAST,59,,,,,,,,,,0.0,
EDGEWOOD_8,EDGWD_138KV_1,anchor,1.0,transformer_impedance,138,O_VANZANDT ,EAST,1,,,,,,,,,,0.0,
EDGEWOOD_9,EDGWD_69KV_1,anchor,1.0,transformer_impedance,69,O_VANZANDT ,EAST,1,,,,,,,,,,0.0,
CROCKETT_9,CRKET_69KV_1,anchor,1.0,transformer_impedance,69,O_HOUSTON  ,EAST,89,,,,,,,,,,0.0,
CROCKETT_8,CRKET_138KV_1,anchor,1.0,transformer_impedance,138,O_HOUSTON  ,EAST,321,,,,,,,,,,0.0,
ELM_MOTT__5,ELMOT_345KV_1,anchor,1.0,transformer_impedance,345,O_MCLENNAN ,NCEN,1,,,,,,,,,,0.00014030164854438902,
